F0,F1,F2,F3,F4,F5,F6
-2.6343800701240616e-06,2.0344067330710676e-07,2.1386250891250438e-05,-3.924048943661302e-06,-4.166418085777688e-06,-9.487958987475008e-05,-0.0004188554868569208
-2.7298776143518916e-06,5.3286130923552805e-08,2.1377627815172e-05,-3.938377165697471e-06,-3.08776402190978e-06,-9.490218182889487e-05,-0.0004169496122485862
-2.428603826874927e-06,6.724539768093054e-08,2.1205896523335077e-05,-3.908662958159758e-06,-2.9587897554111787e-06,-9.483808688797043e-05,-0.0004154825640926091
-2.116439646011491e-06,-1.3835692943495963e-07,2.133941217897865e-05,-3.964466142867204e-06,-2.4234326611851493e-06,-9.463061095571708e-05,-0.00041416633811043835
-2.0974910361064372e-06,8.621921720699287e-08,2.1183970073406142e-05,-3.971939813403316e-06,-2.1326788957073256e-06,-9.416705199795536e-05,-0.0004127412598141198
-1.8727946257714443e-06,2.0277028964153306e-07,2.1189248953536114e-05,-3.888843870937021e-06,-1.44136113367961e-06,-9.386962816348682e-05,-0.00041147629038264623
-1.4588262753904765e-06,3.723069427287383e-07,2.1173705480735905e-05,-3.910993151719247e-06,-9.632233829800856e-07,-9.358608478541223e-05,-0.0004108904504279695
-2.1318091511213272e-06,3.121155790227627e-07,2.054978577963751e-05,-4.002683899838827e-06,-5.748919028412266e-07,-9.350281603171383e-05,-0.0004071065993064807
-2.378434063756545e-06,8.971021794366545e-07,1.8904685780773254e-05,-3.982673947981342e-06,-2.1550570711328157e-07,-9.301300717979743e-05,-0.0004036723993282311
-2.319369941935867e-06,1.3668262237828428e-06,1.887315631169577e-05,-4.024721434372539e-06,3.3444670853636424e-07,-9.216902192398581e-05,-0.0004021715482103901
-2.3900654088252423e-06,1.890706323718768e-06,1.9006582970811745e-05,-3.946016241222492e-06,9.311522841041212e-07,-9.15461458695723e-05,-0.00040065977965901285
-3.465661889416169e-06,2.3213524397685565e-06,1.805565329350062e-05,-3.8804970369202685e-06,1.2505909592181697e-06,-9.075234229331872e-05,-0.00039698266107282803
-3.5413166908270854e-06,2.5233016908334987e-06,1.8119057044197135e-05,-3.650018852578823e-06,2.2465836297073683e-06,-9.018413919625252e-05,-0.0003964036998917408
-4.025585505921601e-06,2.7275230933366655e-06,1.837535456400561e-05,-3.5394964921174476e-06,2.3730748157426e-06,-8.953062227378891e-05,-0.00039343714713458756
-3.941613428326437e-06,2.874839615631638e-06,1.827108893606243e-05,-3.5965398290607722e-06,2.646213816748301e-06,-8.894300465091287e-05,-0.00039168121672680556
-3.7908056755737925e-06,2.949154652707511e-06,1.843817412699411e-05,-3.49394907792051e-06,3.121428796905925e-06,-8.84052659587545e-05,-0.00039105896913102305
-7.05917239850996e-06,3.795793440623205e-06,1.8889120110310473e-05,-2.989202775065059e-06,2.2561040816992204e-06,-8.740325727726754e-05,-0.0003820829507817861
-6.957413045418586e-06,4.10334638386206e-06,1.9372316359925155e-05,-2.842250783463402e-06,2.0558634474677796e-06,-8.700036269195477e-05,-0.00038079173193707985
-6.698272150036743e-06,3.9005585787341945e-06,1.906960070540791e-05,-3.059508019316186e-06,2.2596341775812668e-06,-8.690997994786547e-05,-0.00037755559894450295
-1.1230029584364395e-05,4.181829583163675e-06,1.931153944897248e-05,-2.8135473268659893e-06,8.868584905918286e-07,-8.559702030783513e-05,-0.00036359652923699515
-1.0380803595170557e-05,4.39721517164179e-06,1.9489696371617823e-05,-2.756246039056305e-06,6.170200198399399e-07,-8.49468628208324e-05,-0.0003611035847080357
-9.356937570933854e-06,4.651014847489395e-06,1.9878202914549402e-05,-3.0002851699131386e-06,-1.4849184611862072e-07,-8.433297213116672e-05,-0.0003594207633105696
-8.705325372483124e-06,4.939221076557983e-06,1.9936733386144186e-05,-3.0103328454293977e-06,-1.1328850327274457e-07,-8.477925645461073e-05,-0.00035621131688690414
-8.258468616768468e-06,4.789612718836099e-06,1.984606205057689e-05,-2.9284264500477356e-06,7.436132943431638e-07,-8.39523355834024e-05,-0.0003531469563468676
-8.733965421581697e-06,3.463738004372655e-06,1.9344555857031058e-05,-2.776922256111142e-06,1.5147283802387592e-06,-8.844588980171196e-05,-0.00034211981036223505
-1.2918892379227947e-05,-1.1098393270794049e-06,1.8886139825217473e-05,-3.3126752646154047e-06,1.6953350623988484e-06,-8.879632510488436e-05,-0.0003252039750784701
