y_true,y_pred,residual
0.001167,0.0011585233333333365,8.476666666663597e-06
0.001111,0.0011095723333333335,1.427666666666558e-06
0.001172,0.0011711466666666638,8.533333333362886e-07
0.001117,0.001115458666666664,1.5413333333358457e-06
0.001177,0.0011743600000000021,2.6399999999979825e-06
0.001121,0.0011200783333333317,9.216666666683488e-07
0.001181,0.0011777800000000022,3.2199999999977906e-06
0.001126,0.0011222126666666668,3.7873333333332624e-06
0.001186,0.0011825566666666626,3.443333333337387e-06
0.001132,0.001127336666666666,4.663333333334045e-06
0.001191,0.0011889766666666676,2.023333333332376e-06
0.001137,0.001130041666666667,6.958333333332992e-06
0.001197,0.001189549999999997,7.450000000003027e-06
0.001143,0.0011433533333333312,-3.5333333333123496e-07
0.001202,0.0012037066666666628,-1.7066666666628195e-06
