F0,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12
4.94366867579197e-06,-1.6757603257782702e-05,-6.6302353748030705e-06,-1.01816809647957e-05,-1.333175322701966e-05,-6.137320082799966e-06,-7.90376780666378e-07,-9.171071067649015e-06,-1.2577725899171e-06,-5.867884638659033e-07,2.3139804128021807e-06,-1.3035308084676903e-05,1.729092640538386e-05
4.834691361258039e-06,-1.672137065912886e-05,-6.4085883248355035e-06,-9.288799532405263e-06,-1.2640432630353562e-05,-6.572949826673642e-06,-7.367889503851132e-07,-9.35209904509112e-06,-8.96388784184978e-07,-5.542774078466845e-07,2.3371086224078017e-06,-1.3102683468953468e-05,1.1841244246194537e-05
4.734399294726219e-06,-1.6946385942136197e-05,-6.6404454367738544e-06,-1.0045060475552955e-05,-1.1940574183194276e-05,-7.704087253307423e-06,-8.220262587567338e-07,-8.609049350855884e-06,-7.223724953859587e-07,-3.656622791154541e-07,2.3842808579867693e-06,-1.310162070587708e-05,6.083936494910467e-06
4.631025177800813e-06,-1.698426834716364e-05,-6.340639996849926e-06,-1.0271307154205174e-05,-1.1586097344281387e-05,-8.249728447422386e-06,-9.762421829821705e-07,-8.592107455349252e-06,-1.0114384329125489e-06,-4.4820825483013907e-07,2.3938081174745167e-06,-1.3083207063756483e-05,1.6737436511450307e-06
4.430235605741306e-06,-1.7606823696584712e-05,-6.402703293526498e-06,-1.0033697976603184e-05,-1.1566811414643125e-05,-8.667926581946765e-06,-8.917291612087063e-07,-8.294273614426594e-06,-9.006642388433738e-07,-3.230102104421296e-07,2.3151996683634232e-06,-1.3042456322346374e-05,-2.240006496865578e-06
4.176789464861491e-06,-1.8450375504405407e-05,-6.388510761805073e-06,-9.645314466128518e-06,-1.0390007747173685e-05,-9.487206231518654e-06,-9.234598856355426e-07,-7.4209709550200945e-06,-1.2492372672960344e-06,-2.7622745692099593e-07,2.695142498706139e-06,-1.244613934720437e-05,-7.839150073791324e-06
4.118471564595159e-06,-1.8769865767066687e-05,-6.325822878557378e-06,-9.677672197586265e-06,-9.826280816940202e-06,-9.462269120936955e-06,-8.490909239344434e-07,-6.664894197702591e-06,-1.3599440854633415e-06,-2.647376795604962e-07,2.8060905444369467e-06,-1.2189871076784918e-05,-1.106211443116444e-05
4.382203529333065e-06,-1.9584636174856695e-05,-7.4588423080695975e-06,-9.70801918258277e-06,-8.587333387611325e-06,-1.0721210812620225e-05,-1.0849445100229845e-06,-3.9183166367384146e-06,-7.450352881722202e-07,5.08753026857365e-08,3.763396027881688e-06,-1.1176836465737149e-05,-1.9185967826821256e-05
4.1914636998463885e-06,-1.9830639831691855e-05,-7.471505501369026e-06,-9.806371453533142e-06,-8.865785897938152e-06,-1.0937481480944799e-05,-1.0203229714061743e-06,-4.074004148972454e-06,-9.855725152876074e-07,5.778708509643936e-08,3.7342733517967577e-06,-1.1211334858036934e-05,-2.050183987755785e-05
4.259279579414175e-06,-1.9373643250404076e-05,-8.005746184728117e-06,-1.0081334154659874e-05,-8.896484352524135e-06,-1.1631640279140946e-05,-1.2792360674520088e-06,-3.6856823010283915e-06,-8.981169421880811e-07,-1.6548612438787446e-09,4.120914003674201e-06,-1.0897141219529254e-05,-2.317751503685535e-05
